"vessel_names";"volume";"product";"group";"family";"start_date";"end_date";"origin";"destination"
"Oriental Sakura";487762;"FO";"Fuel Oils";"DPP";"2013-09-25";"2013-09-29";"Russian Federation";"United Kingdom"
"Scf Yenisei";251535;"RFO";"Fuel Oils";"DPP";"2013-10-26";"2013-10-30";"Sweden";"Sweden"
"Iron Point";108807;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2015-05-21";"2015-06-09";"Belgium";"Togo"
"Evinos";1253729;"Clean Condensate";"Blendings";"Light Ends";"2016-11-23";"2016-12-16";"Russian Federation";"Greece"
"Super Lotus";532476;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2016-03-05";"2016-03-25";"Norway";"United States"
"Setagawa";460477;"crude";"crude/co";"Dirty";"2019-04-29";"2019-05-04";"China";"China"
"Silver Gertrude";766885;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2015-08-22";NA;"Kuwait";NA
"Lovina";64615;"Jet";"Kero/Jet";"Middle Distillates";"2019-09-08";"2019-09-09";"Nigeria";"Senegal"
"Team Hawk";999998;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2020-07-22";"2020-08-29";"Germany";"Nigeria"
"Briolette";995287;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2019-10-02";"2019-10-12";"United States";"United States"
"Histria Coral";1084350;"FO";"Fuel Oils";"DPP";"2016-03-23";"2016-04-10";"United Kingdom";"United Kingdom"
"Kimolos Warrior";92680;"crude";"crude/co";"Dirty";"2017-07-29";"2017-08-05";"United Kingdom";"Germany"
"Ocean Autumn";199997;"VGO";"Fuel Oils";"DPP";"2017-12-12";"2017-12-16";"United States";"Colombia"
"White Nova";1079998;"crude";"crude/co";"Dirty";"2016-12-15";"2017-01-12";"United Arab Emirates";"Japan"
"Front Antares";160604;"crude";"crude/co";"Dirty";"2016-09-11";"2016-10-13";"Spain";"Spain"
"High Progress";551566;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2017-01-22";"2017-01-24";"United States";"Lithuania"
"Energy Puma";722781;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2016-07-07";"2016-07-30";"Qatar";"Taiwan"
"Thelma Victory";15108;"Blending Comps";"Blendings";"Light Ends";"2019-03-11";"2019-04-30";"Italy";"United Arab Emirates"
"Dwarka";198688;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2017-09-06";"2017-10-09";"Russian Federation";"China"
"Paramount Hanover";398145;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2020-05-11";"2020-05-21";"Saudi Arabia";"Italy"
"Piltene";158622;"crude";"crude/co";"Dirty";"2020-06-27";"2020-07-02";"United States";"Chile"
"Delta Sailor";344864;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2019-08-23";"2019-08-29";"Iran";"Japan"
"Salina";38726;"crude";"crude/co";"Dirty";"2018-08-25";"2018-08-30";"Portugal";"Ivory Coast"
"Kirsten Maersk";502518;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2017-01-06";"2017-01-24";"Iran";"South Korea"
"John Caine 2";159685;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2019-05-25";NA;"Russian Federation";NA
"Santa Cruz I";32153;"crude";"crude/co";"Dirty";"2019-08-15";"2019-09-01";"United States";"Caribbean Netherlands"
"Ncc Danah";140036;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2020-01-10";"2020-01-17";"Turkey";"Egypt"
"New Achievement";95649;"FO";"Fuel Oils";"DPP";"2016-10-04";"2016-10-08";"Venezuela";"India"
"Sti Spiga";283091;"crude";"crude/co";"Dirty";"2017-04-11";"2017-04-27";"United States";"Greece"
"Silvana Iii";650001;"crude";"crude/co";"Dirty";"2018-10-23";"2018-11-26";"Latvia";"Netherlands"
"Gamkonora";65822;NA;"crude/co";"Dirty";"2017-05-17";"2017-06-12";"Oman";"China"
"Dimitris P";4308;"VGO";"Fuel Oils";"DPP";"2016-11-20";"2016-11-26";"Saudi Arabia";"United States"
"Rio Grande";599997;"crude";"crude/co";"Dirty";"2016-08-14";"2016-09-24";"Iraq";"Egypt"
"Seacross";74999;"crude";"crude/co";"Dirty";"2014-06-01";"2014-07-13";"Canada";"Canada"
"Navig8 Promise";9044;"Jet";"Kero/Jet";"Middle Distillates";"2020-02-27";"2020-02-28";"Saudi Arabia";"Japan"
"Oro Singa";1685002;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2014-06-13";"2014-06-21";"Qatar";"South Korea"
"Almi Navigator";3893;"crude";"crude/co";"Dirty";"2016-08-06";"2016-09-06";"South Korea";"India"
"Erikoussa";350990;"FO";"Fuel Oils";"DPP";"2018-11-30";"2018-12-02";"Iraq";"Turkey"
"Tromso";753997;NA;"Blendings";"Light Ends";"2016-08-21";"2016-08-26";"Turkey";"Italy"
"Stena Superior";35449;"crude";"crude/co";"Dirty";"2018-12-24";"2018-12-26";"Thailand";"South Korea"
"Jasmine S";159440;"crude";"crude/co";"Dirty";"2017-06-21";"2017-06-28";"Canada";"United States"
"Kriti Sfakia";96479;"crude";"crude/co";"Dirty";"2018-03-29";"2018-03-31";"India";"Spain"
"River Shiner";494536;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2019-09-25";"2019-11-11";"Singapore Republic";"Australia"
"Dynasty";1008005;"crude";"crude/co";"Dirty";"2018-09-07";"2018-09-12";"Canada";"United States"
"Ingrid Knutsen";299998;"Jet";"Kero/Jet";"Middle Distillates";"2019-04-10";"2019-05-01";"Greece";"Lebanon"
"City Of Tokyo";80000;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2019-08-20";"2019-09-19";"Qatar";"Sweden"
"La Rosa I";1058562;"crude";"crude/co";"Dirty";"2017-04-10";NA;"Saint Lucia";NA
"Picton";24366;NA;"crude/co";"Dirty";"2018-01-27";"2018-03-03";"Oman";"China"
"Jing Gang San";371237;"crude";"crude/co";"Dirty";"2018-10-09";"2018-12-19";"United Kingdom";"Spain"
"Nordic Tellus";106524;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2019-03-28";"2019-04-04";"United States";"Brazil"
"Allegra";86837;"crude";"crude/co";"Dirty";"2018-07-31";"2018-08-02";"Malta";"Malaysia"
"Sarasota A";35650;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2015-04-07";"2015-04-16";"Venezuela";"Sweden"
"Fso Benchamas 2";165145;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2014-10-28";"2014-12-18";"Saudi Arabia";"Saudi Arabia"
"Bougainville";212771;NA;"Gasoline/Naphtha";"Light Ends";"2018-12-28";"2018-12-31";"Australia";"Thailand"
"Mercury I";117694;"crude";"crude/co";"Dirty";"2020-08-10";"2020-08-15";"Brunei";"South Korea"
"Ambrosia";47311;"VGO";"Fuel Oils";"DPP";"2018-07-20";"2018-07-23";"Angola";"China"
"Halston";123909;"crude";"crude/co";"Dirty";"2015-11-01";"2015-12-29";"Canada";"United States"
"Poliegos";161321;"crude";"crude/co";"Dirty";"2014-03-13";"2014-04-25";"Saudi Arabia";"Egypt"
"Gulf Sky";977021;"crude";"crude/co";"Dirty";"2014-12-21";NA;"Venezuela";NA
"Betty Knutsen";172221;NA;"Gasoline/Naphtha";"Light Ends";"2020-03-06";"2020-03-09";"Iraq";"Iraq"
"Chemtrans Oceanic";663291;"condensate";"crude/co";"Dirty";"2019-10-22";"2019-11-24";"Denmark";"Sweden"
"Garden State";500002;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2017-05-18";"2017-05-29";"Saudi Arabia";"China"
"Yasa Golden Marmara";298445;NA;"Fuel Oils";"DPP";"2013-07-12";"2013-07-13";"Finland";"Poland"
"Chang Bai San";790868;"crude";"crude/co";"Dirty";"2017-08-17";"2017-09-17";"United States";"Mexico"
"Pu Tuo San";47802;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2019-02-05";"2019-03-13";"Nigeria";"Nigeria"
"Donegal Spirit";1019012;"crude";"crude/co";"Dirty";"2016-08-07";"2016-08-18";"Canada";"United States"
"Rio 2016";234396;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2016-11-03";"2016-12-09";"United States";"United States"
"Lady Henrietta";208783;NA;"crude/co";"Dirty";"2020-04-24";"2020-05-25";"Russian Federation";"Poland"
"Rio 2016";285670;"crude";"crude/co";"Dirty";"2018-04-02";"2018-04-13";"Russian Federation";"Netherlands"
"Arnica";239503;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2020-07-18";"2020-07-30";"Canada";"United States"
"Apollo Dream";34273;"Jet";"Kero/Jet";"Middle Distillates";"2018-03-03";NA;"Algeria";NA
"Dewey";129400;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2016-10-02";"2016-10-06";"United States";"Brazil"
"Elandra Spruce";39745;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2019-03-17";"2019-04-06";"Iran";"United Arab Emirates"
"Explorindo 1";439148;"crude";"crude/co";"Dirty";"2016-01-20";"2016-03-19";"South Korea";"Taiwan"
"Rio Grande";266996;"FO";"Fuel Oils";"DPP";"2020-07-12";"2020-07-18";"Netherlands";"Guinea"
"Sebarok Spirit";1095779;"FO";"Fuel Oils";"DPP";"2019-10-30";"2019-11-07";"Oman";"Japan"
"Kronborg";98139;"crude";"crude/co";"Dirty";"2018-07-18";"2018-07-22";"Russian Federation";"Netherlands"
"Kanpur";292627;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2018-07-04";"2018-07-23";"United States";"United States"
"Liana";1074148;NA;"Gasoil/Diesel";"Middle Distillates";"2019-02-11";"2019-02-12";"China";"Singapore Republic"
"Bow Condor";260643;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2016-06-21";"2016-07-01";"Russian Federation";"Italy"
"Estia";92497;"crude";"crude/co";"Dirty";"2019-11-06";"2019-11-12";"Sweden";"Sweden"
"Nissho Maru";288092;"crude";"crude/co";"Dirty";"2017-03-21";"2017-05-13";"Malta";"Lebanon"
"C. Glory";127003;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2019-09-07";NA;"Libya";NA
"Senipah";491227;NA;"Gasoil/Diesel";"Middle Distillates";"2017-02-18";"2017-03-15";"Oman";"Taiwan"
"Sunny Star";997501;"crude";"crude/co";"Dirty";"2016-05-14";"2016-05-30";"South Korea";"Taiwan"
"Delta Angelica";2058265;NA;"crude/co";"Dirty";"2019-08-24";"2019-09-16";"Russian Federation";"France"
"Hestia";756054;"crude";"crude/co";"Dirty";"2017-05-09";"2017-05-28";"United States";"Mexico"
"Sunshine Express";721447;"crude";"crude/co";"Dirty";"2020-02-05";"2020-02-27";"Canada";"Canada"
"Eurostrength";1058204;NA;"Fuel Oils";"DPP";"2018-11-28";NA;"Canada";NA
"Gem No. 5";317937;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2014-08-02";"2014-08-04";"Iraq";"China"
"Polar Endeavour";23454;"VGO";"Fuel Oils";"DPP";"2013-09-17";NA;"Peru";NA
